,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Smart,Smart,Smart,Smart,Smart,Smart,Smart,Smart,Smart,Total,Total,Total,Total,Total,Total,Total,Total,Total
,"Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress"
"LSH Mercedes-Benz Birmingham Central Golden Ticket Event",2827,254,9.0%,14,18,1,1,13.4%,0,,,,,,,,,,2827,254,9.0%,14,18,1,1,13.4%,0
"LSH Mercedes-Benz Erdington Golden Ticket Event",2827,254,9.0%,14,18,1,1,13.4%,0,,,,,,,,,,2827,254,9.0%,14,18,1,1,13.4%,0
"LSH Mercedes-Benz Solihull Golden Ticket Event",3129,384,12.3%,35,22,1,2,15.6%,2,,,,,,,,,,3129,384,12.3%,35,22,1,2,15.6%,2
"LSH Mercedes-Benz Tamworth Golden Ticket Event",2839,219,7.7%,42,18,0,2,28.3%,2,,,,,,,,,,2839,219,7.7%,42,18,0,2,28.3%,2
"LSH Mercedes-Benz Macclesfield Golden Ticket Event",3268,402,12.3%,58,32,1,6,24.1%,3,,,,,,,,,,3268,402,12.3%,58,32,1,6,24.1%,3
"LSH Mercedes-Benz Manchester Central Golden Ticket Event",4128,327,7.9%,39,28,0,8,22.9%,2,,,,,,,,,,4128,327,7.9%,39,28,0,8,22.9%,2
"LSH Mercedes-Benz Manchester Used Golden Ticket Event",2228,143,6.4%,8,54,3,5,49.0%,2,,,,,,,,,,2228,143,6.4%,8,54,3,5,49.0%,2
"LSH Mercedes-Benz Stockport Golden Ticket Event",2228,143,6.4%,8,54,3,5,49.0%,2,,,,,,,,,,2228,143,6.4%,8,54,3,5,49.0%,2
"LSH Mercedes-Benz Whitefield Golden Ticket Event",1794,294,16.4%,38,44,4,4,30.6%,1,,,,,,,,,,1794,294,16.4%,38,44,4,4,30.6%,1
"Premium Trade Cars All Brand Event",1543,19,1.2%,4,6,0,0,52.6%,0,,,,,,,,,,1543,19,1.2%,4,6,0,0,52.6%,0
Total,26811,2439,9.1%,260,294,14,34,24.7%,14,0,0,0%,0,0,0,0,0%,0,26811,2439,9.1%,260,294,14,34,24.7%,14
