,Citroën,Citroën,Citroën,Citroën,Citroën,Citroën,Citroën,Citroën,Citroën,DS,DS,DS,DS,DS,DS,DS,DS,DS,Opel,Opel,Opel,Opel,Opel,Opel,Opel,Opel,Opel,Peugeot,Peugeot,Peugeot,Peugeot,Peugeot,Peugeot,Peugeot,Peugeot,Peugeot,Total,Total,Total,Total,Total,Total,Total,Total,Total
,"Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress"
"Opel Gex Showroom VIP Event",,,,,,,,,,,,,,,,,,,2642,42,1.6%,16,4,0,0,47.6%,1,,,,,,,,,,2642,42,1.6%,16,4,0,0,47.6%,1
"Opel Le Cannet Platinum Event",,,,,,,,,,,,,,,,,,,2985,17,0.6%,8,0,0,0,47.1%,2,,,,,,,,,,2985,17,0.6%,8,0,0,0,47.1%,2
"Opel Salon de Provence Premium Event",,,,,,,,,,,,,,,,,,,3810,48,1.3%,12,3,0,0,31.3%,2,,,,,,,,,,3810,48,1.3%,12,3,0,0,31.3%,2
"Opel Rochefort Platinum Event",,,,,,,,,,,,,,,,,,,1542,22,1.4%,11,0,0,0,50.0%,1,,,,,,,,,,1542,22,1.4%,11,0,0,0,50.0%,1
"Opel Lille Showroom VIP Event",,,,,,,,,,,,,,,,,,,2500,38,1.5%,29,5,0,0,89.5%,1,,,,,,,,,,2500,38,1.5%,29,5,0,0,89.5%,1
"Opel Dunkerque Showroom VIP Event",,,,,,,,,,,,,,,,,,,691,20,2.9%,12,1,0,0,65.0%,0,,,,,,,,,,691,20,2.9%,12,1,0,0,65.0%,0
"Opel Saint-Quentin Showroom VIP Event",,,,,,,,,,,,,,,,,,,2548,27,1.1%,15,8,0,0,85.2%,0,,,,,,,,,,2548,27,1.1%,15,8,0,0,85.2%,0
"Opel Fontaine-Les-Vervins Showroom VIP Event",,,,,,,,,,,,,,,,,,,922,10,1.1%,12,1,0,0,130.0%,0,,,,,,,,,,922,10,1.1%,12,1,0,0,130.0%,0
"Opel Tourcoing Showroom VIP Event",,,,,,,,,,,,,,,,,,,1860,29,1.6%,25,3,0,0,96.6%,2,,,,,,,,,,1860,29,1.6%,25,3,0,0,96.6%,2
"Opel Valenciennes Showroom VIP Event",,,,,,,,,,,,,,,,,,,2257,37,1.6%,22,1,0,0,62.2%,2,,,,,,,,,,2257,37,1.6%,22,1,0,0,62.2%,2
"Opel Villeneuve d'Ascq Showroom VIP Event",,,,,,,,,,,,,,,,,,,2199,29,1.3%,24,2,0,0,89.7%,0,,,,,,,,,,2199,29,1.3%,24,2,0,0,89.7%,0
"Opel Laon Showroom VIP Event",,,,,,,,,,,,,,,,,,,2323,8,0.3%,8,0,0,0,100.0%,0,,,,,,,,,,2323,8,0.3%,8,0,0,0,100.0%,0
"Opel Frejus Showroom VIP Event",,,,,,,,,,,,,,,,,,,2256,26,1.2%,16,0,0,0,61.5%,0,,,,,,,,,,2256,26,1.2%,16,0,0,0,61.5%,0
"Opel Soissons Showroom VIP Event",,,,,,,,,,,,,,,,,,,839,10,1.2%,3,0,0,0,30.0%,0,,,,,,,,,,839,10,1.2%,3,0,0,0,30.0%,0
"Opel Orléans Showroom VIP Event",,,,,,,,,,,,,,,,,,,1495,12,0.8%,16,0,0,0,133.3%,1,,,,,,,,,,1495,12,0.8%,16,0,0,0,133.3%,1
"Opel Tours Showroom VIP Event",,,,,,,,,,,,,,,,,,,2000,42,2.1%,25,0,0,0,59.5%,11,,,,,,,,,,2000,42,2.1%,25,0,0,0,59.5%,11
"Premium Trade Cars All Brand Event",2348,16,0.7%,4,6,0,0,62.5%,0,1546,16,1.0%,4,2,0,0,37.5%,0,,,,,,,,,,2423,29,1.2%,12,4,2,0,62.1%,0,6317,61,1.0%,20,12,2,0,55.7%,0
Total,2348,16,0.7%,4,6,0,0,62.5%,0,1546,16,1.0%,4,2,0,0,37.5%,0,32869,417,1.3%,254,28,0,0,67.6%,23,2423,29,1.2%,12,4,2,0,62.1%,0,39186,478,1.2%,274,40,2,0,66.1%,23
