,Audi,Audi,Audi,Audi,Audi,Audi,Audi,Audi,Audi,Porsche,Porsche,Porsche,Porsche,Porsche,Porsche,Porsche,Porsche,Porsche,SEAT,SEAT,SEAT,SEAT,SEAT,SEAT,SEAT,SEAT,SEAT,ŠKODA,ŠKODA,ŠKODA,ŠKODA,ŠKODA,ŠKODA,ŠKODA,ŠKODA,ŠKODA,Volkswagen,Volkswagen,Volkswagen,Volkswagen,Volkswagen,Volkswagen,Volkswagen,Volkswagen,Volkswagen,Total,Total,Total,Total,Total,Total,Total,Total,Total
,"Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress"
"MC Motors VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,1239,33,2.7%,17,2,0,0,57.6%,0,,,,,,,,,,1239,33,2.7%,17,2,0,0,57.6%,0
"L.Warsemann Auto 37 VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,726,35,4.8%,19,0,2,0,60.0%,0,,,,,,,,,,726,35,4.8%,19,0,2,0,60.0%,0
"Nouvelle Excel Auto VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,1974,41,2.1%,8,8,0,0,39.0%,0,,,,,,,,,,1974,41,2.1%,8,8,0,0,39.0%,0
"Espace 3000 VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,36,1.8%,7,0,0,0,19.4%,0,,,,,,,,,,1984,36,1.8%,7,0,0,0,19.4%,0
"Europe Garage Services VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,29,2.4%,7,8,0,0,51.7%,0,,,,,,,,,,1210,29,2.4%,7,8,0,0,51.7%,0
"Skoda Paris Est VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,5166,28,0.5%,4,4,0,0,28.6%,0,,,,,,,,,,5166,28,0.5%,4,4,0,0,28.6%,0
"NDS City Car VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,1283,26,2.0%,14,3,0,0,65.4%,0,,,,,,,,,,1283,26,2.0%,14,3,0,0,65.4%,0
"Excel Motors VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,1093,28,2.6%,11,0,0,0,39.3%,0,,,,,,,,,,1093,28,2.6%,11,0,0,0,39.3%,0
"Premium Picardie VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,1671,21,1.3%,17,0,0,0,81.0%,0,,,,,,,,,,1671,21,1.3%,17,0,0,0,81.0%,0
"WelcomCar VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,798,22,2.8%,16,0,0,0,72.7%,0,,,,,,,,,,798,22,2.8%,16,0,0,0,72.7%,0
"Carlier Automobiles VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,511,15,2.9%,9,0,0,0,60.0%,0,,,,,,,,,,511,15,2.9%,9,0,0,0,60.0%,0
"Nice Car SA VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,2379,16,0.7%,22,0,0,0,137.5%,0,,,,,,,,,,2379,16,0.7%,22,0,0,0,137.5%,0
"Riviera Technic VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,18,0.9%,13,0,0,0,72.2%,0,,,,,,,,,,1998,18,0.9%,13,0,0,0,72.2%,0
"Peyo Automobiles VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,1282,19,1.5%,12,0,0,0,63.2%,0,,,,,,,,,,1282,19,1.5%,12,0,0,0,63.2%,0
"L.G.A. VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,1259,30,2.4%,12,5,1,0,60.0%,0,,,,,,,,,,1259,30,2.4%,12,5,1,0,60.0%,0
"Saphir Automobiles VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,2777,17,0.6%,8,3,0,0,64.7%,0,,,,,,,,,,2777,17,0.6%,8,3,0,0,64.7%,0
"Vega Automobile VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,1493,56,3.8%,5,0,18,0,41.1%,0,,,,,,,,,,1493,56,3.8%,5,0,18,0,41.1%,0
"Espace Automobiles Nîmois VIP Event",,,,,,,,,,,,,,,,,,,,,,,,,,,,1388,25,1.8%,21,0,0,0,84.0%,0,,,,,,,,,,1388,25,1.8%,21,0,0,0,84.0%,0
"Premium Trade Cars All Brand Event",1943,19,1.0%,5,7,0,0,63.2%,0,2792,28,1.0%,5,2,2,0,32.1%,0,1623,42,2.6%,15,7,0,0,52.4%,0,1829,38,2.1%,14,4,0,0,47.4%,0,,,,,,,,,,8187,127,1.6%,39,20,2,0,48.0%,0
Total,1943,19,1.0%,5,7,0,0,63.2%,0,2792,28,1.0%,5,2,2,0,32.1%,0,1623,42,2.6%,15,7,0,0,52.4%,0,32060,533,1.7%,236,37,21,0,55.2%,0,0,0,0%,0,0,0,0,0%,0,38418,622,1.6%,261,53,23,0,54.2%,0
